
,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"Year","Month",
"2012","February",8661,15336,22194,11625,150
"2012","March",9033,16139,23261,12146,152
"2012","April",8311,14770,21339,11135,137
"2012","May",10249,18637,26674,13726,175
"2012","June",10949,19915,28528,14681,179
"2012","July",11275,20267,29693,15224,213
"2012","August",11305,20470,30171,15473,204
"2012","September",10974,20026,28464,14613,199
"2012","October",11313,20129,28796,14781,181
"2012","November",10902,19305,27541,14381,161
"2012","December",11146,19329,28599,14866,174
"2013","January",10469,18736,26975,14030,144
"2013","February",8752,15504,22098,11656,105
"2013","March",8410,15185,22127,11430,103
"2013","April",8009,14320,20351,10640,107
"2013","May",9896,18061,25441,13248,175
"2013","June",10326,18782,27042,13952,168
"2013","July",11154,20126,29303,15207,245
"2013","August",11126,20170,29724,15374,206
"2013","September",10926,19820,28542,14663,201
"2013","October",11120,20101,28931,14844,188
"2013","November",10867,19335,27552,14514,178
"2013","December",11073,19664,28432,14962,131
"2014","January",11195,20219,28418,15025,127
"2014","February",8843,16506,23253,11998,101
"2014","March",8414,15182,21769,11387,93
"2014","April",6928,12526,17779,9251,97
"2014","May",8557,15632,22089,11484,149
"2014","June",9561,17220,24419,12855,176
"2014","July",10330,18577,26916,14181,187
"2014","August",10418,18766,27522,14355,216
"2014","September",10503,19210,26814,13925,187
"2014","October",10720,19450,27839,14302,194
"2014","November",10757,18758,27102,14291,157
"2014","December",10062,17708,25857,13499,156
"2015","January",10784,19301,27760,14501,143
"2015","February",9896,18397,26107,13252,113
"2015","March",8183,14928,21534,11116,75
"2015","April",7748,14003,20104,10445,116
"2015","May",9585,17326,24342,12690,150
"2015","June",10482,19120,26918,14120,178
"2015","July",10845,19745,28536,14855,218
"2015","August",10456,18882,27564,14445,191
"2015","September",10300,18786,26227,13586,192
"2015","October",10490,18989,26905,14076,185
"2015","November",10352,18341,26190,13751,160
"2015","December",10423,18208,26267,13956,166
"2016","January",9898,17632,25237,13166,131
"2016","February",8833,15725,22403,11875,97
"2016","March",7964,14286,20598,10753,133
"2016","April",8057,14484,20311,10755,152
"2016","May",9610,17483,24654,12965,168
"2016","June",10586,19190,26890,14106,142
"2016","July",10534,18937,27680,14426,187
"2016","August",10659,19509,28153,14492,188
"2016","September",10574,19381,27244,14188,177
"2016","October",10374,18621,26551,13958,190
"2016","November",10500,18563,26247,13793,189
"2016","December",10729,19001,27250,14373,146
"2017","January",9005,16016,22394,11796,120
"2017","February",8017,14390,20351,10752,93
"2017","March",8065,14636,20529,10709,121
"2017","April",7551,13715,19273,10077,117
"2017","May",9302,16980,23806,12529,137
"2017","June",10182,18591,25743,13529,142
"2017","July",10301,18629,26960,14063,217
"2017","August",10135,18388,26300,13720,203
"2017","September",10314,18733,25916,13761,184
"2017","October",10277,18499,25741,13683,200
"2017","November",10550,18497,25812,13872,153
"2017","December",10711,18958,26811,14278,174
"2018","January",9971,17770,25046,13253,139
"2018","February",8619,15836,22191,11670,118
"2018","March",7805,14035,19947,10499,115
"2018","April",7208,12910,18145,9580,135
"2018","May",8927,16209,22377,11850,162
"2018","June",9745,17673,24745,13058,201
"2018","July",10062,17986,25653,13617,214
"2018","August",9635,17477,24781,13121,202
"2018","September",9742,17674,24710,13036,172
"2018","October",9970,17813,24968,13252,179
"2018","November",10411,18206,25722,13633,166
"2018","December",9238,16108,23682,12493,136
"2019","January",9713,17467,24428,12756,115
"2019","February",8327,15803,22026,11229,93
"2019","March",7480,13519,19274,10101,95
"2019","April",6787,12213,17229,9058,98
"2019","May",8037,14510,20002,10572,135
"2019","June",9328,16876,23532,12325,173
"2019","July",9596,17180,24501,12970,191
"2019","August",9371,17045,24338,12733,202
"2019","September",9122,16645,23033,11961,161
"2019","October",9614,17324,24327,12686,176
"2019","November",9370,16450,23187,12312,176
"2019","December",9036,15822,22984,12098,146
